type,query,func_name,plantime,estcost,exectime,cost ratio,time ratio,
" derived from procbench, udf in predicate, big difference using result cache",EXPLAIN ANALYZE SELECT * from item where sudf_8_maxretclass() is not null and i_class = sudf_8_maxretclass(),sudf_8_maxretclass,0,0,120000,1,1,0
" derived from procbench, udf in predicate, big difference using result cache",EXPLAIN ANALYZE  SELECT * from item where sudf_8_maxretclass_cache() is not null and i_class = sudf_8_maxretclass_cache(),sudf_8_maxretclass_cache,0.835,12961,1199.352667,0,100.0539736,1
" derived from q67, udf in predicate, big difference using result cache","EXPLAIN ANALYZE select from (select i_category ,i_class ,i_brand ,i_product_name ,d_year ,d_qoy ,d_moy ,s_store_id ,sumsales ,rank() over (partition by i_category order by sumsales desc) rk from (select i_category ,i_class ,i_brand ,i_product_name ,d_year ,d_qoy ,d_moy ,s_store_id ,sum(coalesce(ss_sales_price*ss_quantity,0)) sumsales from store_sales ,date_dim ,store ,item where  ss_sold_date_sk=d_date_sk and ss_item_sk=i_item_sk and ss_store_sk = s_store_sk and d_month_seq between 1181 and 1181+11 group by  rollup(i_category, i_class, i_brand, i_product_name, d_year, d_qoy, d_moy,s_store_id))dw1) dw2 where rk <= 100 and sudf_8_maxretclass() is not null and i_class = sudf_8_maxretclass() order by i_category ,i_class ,i_brand ,i_product_name ,d_year ,d_qoy ,d_moy ,s_store_id ,sumsales ,rk limit 100",sudf_8_maxretclass,0,0,120000,1,1,0
" derived from q67, udf in predicate, big difference using result cache","EXPLAIN ANALYZE  select from (select i_category ,i_class ,i_brand ,i_product_name ,d_year ,d_qoy ,d_moy ,s_store_id ,sumsales ,rank() over (partition by i_category order by sumsales desc) rk from (select i_category ,i_class ,i_brand ,i_product_name ,d_year ,d_qoy ,d_moy ,s_store_id ,sum(coalesce(ss_sales_price*ss_quantity,0)) sumsales from store_sales ,date_dim ,store ,item where  ss_sold_date_sk=d_date_sk and ss_item_sk=i_item_sk and ss_store_sk = s_store_sk and d_month_seq between 1181 and 1181+11 group by  rollup(i_category, i_class, i_brand, i_product_name, d_year, d_qoy, d_moy,s_store_id))dw1) dw2 where rk <= 100 and sudf_8_maxretclass_cache() is not null and i_class = sudf_8_maxretclass_cache() order by i_category ,i_class ,i_brand ,i_product_name ,d_year ,d_qoy ,d_moy ,s_store_id ,sumsales ,rk limit 100",sudf_8_maxretclass_cache,2.307,139587.14,17961.98533,0,6.680775971,1
" derived from q45, udf in subquery predicate with null check,big difference using result cache","EXPLAIN ANALYZE SELECT ca_zip, ca_state, Sum(ws_sales_price) FROM   web_sales, customer, customer_address, date_dim, item WHERE  ws_bill_customer_sk = c_customer_sk AND c_current_addr_sk = ca_address_sk AND ws_item_sk = i_item_sk AND ( Substr(ca_zip, 1, 5) IN ( '85669', '86197', '88274', '83405', '86475', '85392', '85460', '80348', '81792' ) OR i_item_id IN (SELECT i_item_id FROM   item WHERE  i_item_sk IN ( 2, 3, 5, 7, 11, 13, 17, 19, 23, 29 ) AND sudf_8_maxretclass() is not null and i_class = sudf_8_maxretclass()) ) AND ws_sold_date_sk = d_date_sk AND d_qoy = 1 AND d_year = 2000 GROUP  BY ca_zip, ca_state ORDER  BY ca_zip, ca_state LIMIT 100",sudf_8_maxretclass,3.413,34410.19,4355.465667,1,1,0
" derived from q45, udf in subquery predicate with null check,big difference using result cache","EXPLAIN ANALYZE  SELECT ca_zip, ca_state, Sum(ws_sales_price) FROM   web_sales, customer, customer_address, date_dim, item WHERE  ws_bill_customer_sk = c_customer_sk AND c_current_addr_sk = ca_address_sk AND ws_item_sk = i_item_sk AND ( Substr(ca_zip, 1, 5) IN ( '85669', '86197', '88274', '83405', '86475', '85392', '85460', '80348', '81792' ) OR i_item_id IN (SELECT i_item_id FROM   item WHERE  i_item_sk IN ( 2, 3, 5, 7, 11, 13, 17, 19, 23, 29 ) AND sudf_8_maxretclass_cache() is not null and i_class = sudf_8_maxretclass_cache()) ) AND ws_sold_date_sk = d_date_sk AND d_qoy = 1 AND d_year = 2000 GROUP  BY ca_zip, ca_state ORDER  BY ca_zip, ca_state LIMIT 100",sudf_8_maxretclass_cache,3.167,34410.19,1415.629333,1,3.076699221,1
" derived from q92, udf in predicate, improv using cache","EXPLAIN ANALYZE SELECT Sum(ws_ext_discount_amt) FROM     web_sales , item , date_dim WHERE    i_manufact_id = 718 AND      i_item_sk = ws_item_sk AND      sudf_nmonthsbefore(d_Date_string, 3) between '2000-05-04' and '2030-10-05' AND      d_date_sk = ws_sold_date_sk AND      ws_ext_discount_amt > ( SELECT 1.3 * avg(ws_ext_discount_amt) FROM   web_sales , date_dim WHERE  ws_item_sk = i_item_sk AND    sudf_nmonthsbefore(d_Date_string, 3) between '1981-08-09' and '2002-03-04' AND    d_date_sk = ws_sold_date_sk) ORDER BY sum(ws_ext_discount_amt) LIMIT 100",sudf_nMonthsBefore,2.252,39203.02,2261.32,1,1,0
" derived from q92, udf in predicate, improv using cache","EXPLAIN ANALYZE  SELECT Sum(ws_ext_discount_amt) FROM     web_sales , item , date_dim WHERE    i_manufact_id = 718 AND      i_item_sk = ws_item_sk AND      sudf_nMonthsBefore_cache(d_Date_string, 3) between '2000-05-04' and '2030-10-05' AND      d_date_sk = ws_sold_date_sk AND      ws_ext_discount_amt > ( SELECT 1.3 * avg(ws_ext_discount_amt) FROM   web_sales , date_dim WHERE  ws_item_sk = i_item_sk AND    sudf_nMonthsBefore_cache(d_Date_string, 3) between '1981-08-09' and '2002-03-04' AND    d_date_sk = ws_sold_date_sk) ORDER BY sum(ws_ext_discount_amt) LIMIT 100",sudf_nMonthsBefore_cache,2.261,39203.02,1557.484667,1,1.451905144,1
" derived from q92, udf in predicate, no improv using cache","EXPLAIN ANALYZE SELECT Sum(ws_ext_discount_amt) FROM     web_sales , item , date_dim WHERE    i_manufact_id = 718 AND      i_item_sk = ws_item_sk AND      sudf_nmonthsbefore(d_Date_string,6) between '2001-03-04' and '2002-03-04' AND      d_date_sk = ws_sold_date_sk AND      ws_ext_discount_amt > ( SELECT 1.3 * avg(ws_ext_discount_amt) FROM   web_sales , date_dim WHERE  ws_item_sk = i_item_sk AND    d_date_sk = ws_sold_date_sk) ORDER BY sum(ws_ext_discount_amt) LIMIT 100",sudf_nMonthsBefore,2.239,36588.75,1028.583667,1,1,0
" derived from q92, udf in predicate, no improv using cache","EXPLAIN ANALYZE  SELECT Sum(ws_ext_discount_amt) FROM     web_sales , item , date_dim WHERE    i_manufact_id = 718 AND      i_item_sk = ws_item_sk AND      sudf_nMonthsBefore_cache(d_Date_string,6) between '2001-03-04' and '2002-03-04' AND      d_date_sk = ws_sold_date_sk AND      ws_ext_discount_amt > ( SELECT 1.3 * avg(ws_ext_discount_amt) FROM   web_sales , date_dim WHERE  ws_item_sk = i_item_sk AND    d_date_sk = ws_sold_date_sk) ORDER BY sum(ws_ext_discount_amt) LIMIT 100",sudf_nMonthsBefore_cache,2.289,36588.75,1029.008667,1,0.999586981,0
