type,query,func_name,plantime,estcost,exectime,cost ratio,time ratio
" derived from sqlprocbench, udf in predicate, no improv using cache","EXPLAIN ANALYZE select ws_item_sk from (select ws_item_sk, count(*) cnt from web_sales group by ws_item_sk order by cnt limit 30 )t1 where sudf_20b_GetManufactComplex(ws_item_sk) = 'oughtn st'",sudf_20b_GetManufactComplex,0.817,25102.52,26375.964333333333,1.0,1.0
" derived from sqlprocbench, udf in predicate, no improv using cache","EXPLAIN ANALYZE  select ws_item_sk from (select ws_item_sk, count(*) cnt from web_sales group by ws_item_sk order by cnt limit 30 )t1 where sudf_20b_GetManufactComplex_null(ws_item_sk) = 'oughtn st'",sudf_20b_GetManufactComplex_null,0.737,25102.52,27273.880666666664,1.0,0.9670777934278074
" derived from sqlprocbench, udf in predicate, no improv using cache","EXPLAIN ANALYZE select ws_item_sk from (select ws_item_sk, count(*) cnt from web_sales group by ws_item_sk order by cnt limit 30 )t1 where sudf_20b_GetManufactComplex(ws_item_sk) is not null and sudf_20b_GetManufactComplex(ws_item_sk) = 'oughtn st'",sudf_20b_GetManufactComplex,0.729,25110.02,53474.84833333333,1.0,1.0
" derived from sqlprocbench, udf in predicate, no improv using cache","EXPLAIN ANALYZE  select ws_item_sk from (select ws_item_sk, count(*) cnt from web_sales group by ws_item_sk order by cnt limit 30 )t1 where sudf_20b_GetManufactComplex_null(ws_item_sk) is not null and sudf_20b_GetManufactComplex_null(ws_item_sk) = 'oughtn st'",sudf_20b_GetManufactComplex_null,0.743,25110.02,53095.48866666667,1.0,1.0071448568643615
" derived from sqlprocbench, udf in both predicate and projection, no improv using cache","EXPLAIN ANALYZE select ws_item_sk, sudf_20b_GetManufactComplex(ws_item_sk) from (select ws_item_sk, count(*) cnt from web_sales group by ws_item_sk order by cnt limit 30 )t1 where sudf_20b_GetManufactComplex(ws_item_sk) != 'outdated item'",sudf_20b_GetManufactComplex,1.032,25109.77,30047.090666666667,1.0,1.0
" derived from sqlprocbench, udf in both predicate and projection, no improv using cache","EXPLAIN ANALYZE  select ws_item_sk, sudf_20b_GetManufactComplex_null(ws_item_sk) from (select ws_item_sk, count(*) cnt from web_sales group by ws_item_sk order by cnt limit 30 )t1 where sudf_20b_GetManufactComplex_null(ws_item_sk) != 'outdated item'",sudf_20b_GetManufactComplex_null,0.825,25109.77,29402.907000000003,1.0,1.021908842777575
" derived from sqlprocbench, udf in both predicate and projection, no improv using cache","EXPLAIN ANALYZE select ws_item_sk, sudf_20b_GetManufactComplex(ws_item_sk) from (select ws_item_sk, count(*) cnt from web_sales group by ws_item_sk order by cnt limit 30 )t1 where sudf_20b_GetManufactComplex(ws_item_sk) in ('outdated item', 'oughtn st')",sudf_20b_GetManufactComplex,0.909,25103.02,49614.06166666667,1.0,1.0
" derived from sqlprocbench, udf in both predicate and projection, no improv using cache","EXPLAIN ANALYZE  select ws_item_sk, sudf_20b_GetManufactComplex_null(ws_item_sk) from (select ws_item_sk, count(*) cnt from web_sales group by ws_item_sk order by cnt limit 30 )t1 where sudf_20b_GetManufactComplex_null(ws_item_sk) in ('outdated item', 'oughtn st')",sudf_20b_GetManufactComplex_null,0.914,25103.02,51324.36166666667,1.0,0.9666766435185732
" derived from q40, udf in projection and predicate, no improv using cache","EXPLAIN ANALYZE SELECT w_state , i_item_id , Sum( CASE WHEN ( Cast(d_date AS DATE) < Cast ('2002-06-01' AS DATE)) THEN cs_sales_price - COALESCE(cr_refunded_cash,0) ELSE 0 END) AS sales_before , Sum( CASE WHEN ( Cast(d_date AS DATE) >= Cast ('2002-06-01' AS DATE)) THEN cs_sales_price - COALESCE(cr_refunded_cash,0) ELSE 0 END) AS sales_after, sudf_stddev(cs_sales_price, i_current_price, cr_return_amt_inc_tax) as max FROM            catalog_sales LEFT OUTER JOIN catalog_returns ON              ( cs_order_number = cr_order_number AND             cs_item_sk = cr_item_sk) , warehouse , item , date_dim WHERE           i_current_price BETWEEN 0.99 AND             1.49 AND             i_item_sk = cs_item_sk AND             cs_warehouse_sk = w_warehouse_sk AND             cs_sold_date_sk = d_date_sk AND             d_date BETWEEN (Cast ('2002-06-01' AS DATE) - INTERVAL '30' day) AND             ( cast ('2002-06-01' AS date) + INTERVAL '30' day) AND sudf_stddev(cs_sales_price, i_current_price, cr_return_amt_inc_tax) > 30 GROUP BY        w_state, i_item_id, max ORDER BY        w_state, i_item_id ",sudf_stddev,3.07,61662.41,1348.0083333333332,1.0,1.0
" derived from q40, udf in projection and predicate, no improv using cache","EXPLAIN ANALYZE  SELECT w_state , i_item_id , Sum( CASE WHEN ( Cast(d_date AS DATE) < Cast ('2002-06-01' AS DATE)) THEN cs_sales_price - COALESCE(cr_refunded_cash,0) ELSE 0 END) AS sales_before , Sum( CASE WHEN ( Cast(d_date AS DATE) >= Cast ('2002-06-01' AS DATE)) THEN cs_sales_price - COALESCE(cr_refunded_cash,0) ELSE 0 END) AS sales_after, sudf_stddev_null(cs_sales_price, i_current_price, cr_return_amt_inc_tax) as max FROM            catalog_sales LEFT OUTER JOIN catalog_returns ON              ( cs_order_number = cr_order_number AND             cs_item_sk = cr_item_sk) , warehouse , item , date_dim WHERE           i_current_price BETWEEN 0.99 AND             1.49 AND             i_item_sk = cs_item_sk AND             cs_warehouse_sk = w_warehouse_sk AND             cs_sold_date_sk = d_date_sk AND             d_date BETWEEN (Cast ('2002-06-01' AS DATE) - INTERVAL '30' day) AND             ( cast ('2002-06-01' AS date) + INTERVAL '30' day) AND sudf_stddev_null(cs_sales_price, i_current_price, cr_return_amt_inc_tax) > 30 GROUP BY        w_state, i_item_id, max ORDER BY        w_state, i_item_id ",sudf_stddev_null,3.921,25460.17,1141.0623333333335,2.421916664342776,1.181362572363122
" derived from q40, udf in predicate, no improv using cache","EXPLAIN ANALYZE SELECT w_state , i_item_id , Sum( CASE WHEN ( Cast(d_date AS DATE) < Cast ('2002-06-01' AS DATE)) THEN cs_sales_price - COALESCE(cr_refunded_cash,0) ELSE 0 END) AS sales_before , Sum( CASE WHEN ( Cast(d_date AS DATE) >= Cast ('2002-06-01' AS DATE)) THEN cs_sales_price - COALESCE(cr_refunded_cash,0) ELSE 0 END) AS sales_after FROM            catalog_sales LEFT OUTER JOIN catalog_returns ON              ( cs_order_number = cr_order_number AND             cs_item_sk = cr_item_sk) , warehouse , item , date_dim WHERE           i_current_price BETWEEN 0.99 AND             1.49 AND             i_item_sk = cs_item_sk AND             cs_warehouse_sk = w_warehouse_sk AND             cs_sold_date_sk = d_date_sk AND             d_date BETWEEN (Cast ('2002-06-01' AS DATE) - INTERVAL '30' day) AND             ( cast ('2002-06-01' AS date) + INTERVAL '30' day) AND sudf_stddev(cs_sales_price, i_current_price, cr_return_amt_inc_tax) > 1 GROUP BY        w_state, i_item_id ORDER BY        w_state, i_item_id ",sudf_stddev,3.482,61648.96,1362.3443333333332,1.0,1.0
" derived from q40, udf in predicate, no improv using cache","EXPLAIN ANALYZE  SELECT w_state , i_item_id , Sum( CASE WHEN ( Cast(d_date AS DATE) < Cast ('2002-06-01' AS DATE)) THEN cs_sales_price - COALESCE(cr_refunded_cash,0) ELSE 0 END) AS sales_before , Sum( CASE WHEN ( Cast(d_date AS DATE) >= Cast ('2002-06-01' AS DATE)) THEN cs_sales_price - COALESCE(cr_refunded_cash,0) ELSE 0 END) AS sales_after FROM            catalog_sales LEFT OUTER JOIN catalog_returns ON              ( cs_order_number = cr_order_number AND             cs_item_sk = cr_item_sk) , warehouse , item , date_dim WHERE           i_current_price BETWEEN 0.99 AND             1.49 AND             i_item_sk = cs_item_sk AND             cs_warehouse_sk = w_warehouse_sk AND             cs_sold_date_sk = d_date_sk AND             d_date BETWEEN (Cast ('2002-06-01' AS DATE) - INTERVAL '30' day) AND             ( cast ('2002-06-01' AS date) + INTERVAL '30' day) AND sudf_stddev_null(cs_sales_price, i_current_price, cr_return_amt_inc_tax) > 1 GROUP BY        w_state, i_item_id ORDER BY        w_state, i_item_id ",sudf_stddev_null,3.619,25459.65,1089.1716666666669,2.421437843803823,1.2508077239125142
" derived from q75, udf in predicate, no improv using cache","EXPLAIN ANALYZE WITH all_sales AS (SELECT d_year, i_brand_id, i_class_id, i_category_id, i_manufact_id, Sum(sales_cnt) AS sales_cnt, Sum(sales_amt) AS sales_amt FROM   (SELECT d_year, i_brand_id, i_class_id, i_category_id, i_manufact_id, cs_quantity - COALESCE(cr_return_quantity, 0)        AS sales_cnt, cs_ext_sales_price - COALESCE(cr_return_amount, 0.0) AS sales_amt FROM   catalog_sales JOIN item ON i_item_sk = cs_item_sk JOIN date_dim ON d_date_sk = cs_sold_date_sk LEFT JOIN catalog_returns ON ( cs_order_number = cr_order_number AND cs_item_sk = cr_item_sk ) WHERE  i_category = 'Men' UNION SELECT d_year, i_brand_id, i_class_id, i_category_id, i_manufact_id, ss_quantity - COALESCE(sr_return_quantity, 0)     AS sales_cnt, ss_ext_sales_price - COALESCE(sr_return_amt, 0.0) AS sales_amt FROM   store_sales JOIN item ON i_item_sk = ss_item_sk JOIN date_dim ON d_date_sk = ss_sold_date_sk LEFT JOIN store_returns ON ( ss_ticket_number = sr_ticket_number AND ss_item_sk = sr_item_sk ) WHERE  i_category = 'Men' UNION SELECT d_year, i_brand_id, i_class_id, i_category_id, i_manufact_id, ws_quantity - COALESCE(wr_return_quantity, 0)     AS sales_cnt, ws_ext_sales_price - COALESCE(wr_return_amt, 0.0) AS sales_amt FROM   web_sales JOIN item ON i_item_sk = ws_item_sk JOIN date_dim ON d_date_sk = ws_sold_date_sk LEFT JOIN web_returns ON ( ws_order_number = wr_order_number AND ws_item_sk = wr_item_sk ) WHERE  i_category = 'Men' and sudf_stddev(ws_sales_price, i_current_price, wr_refunded_cash) > i_current_price) sales_detail GROUP  BY d_year, i_brand_id, i_class_id, i_category_id, i_manufact_id) SELECT prev_yr.d_year                        AS prev_year, curr_yr.d_year                        AS year1, curr_yr.i_brand_id, curr_yr.i_class_id, curr_yr.i_category_id, curr_yr.i_manufact_id, prev_yr.sales_cnt                     AS prev_yr_cnt, curr_yr.sales_cnt                     AS curr_yr_cnt, curr_yr.sales_cnt - prev_yr.sales_cnt AS sales_cnt_diff, curr_yr.sales_amt - prev_yr.sales_amt AS sales_amt_diff FROM   all_sales curr_yr, all_sales prev_yr WHERE  curr_yr.i_brand_id = prev_yr.i_brand_id AND curr_yr.i_class_id = prev_yr.i_class_id AND curr_yr.i_category_id = prev_yr.i_category_id AND curr_yr.i_manufact_id = prev_yr.i_manufact_id AND curr_yr.d_year = 2002 AND prev_yr.d_year = 2002 - 1 AND Cast(curr_yr.sales_cnt AS DECIMAL(17, 2)) / Cast(prev_yr.sales_cnt AS DECIMAL(17, 2)) < 0.9 ORDER  BY sales_cnt_diff LIMIT 100",sudf_stddev,5.591,324443.54,6432.733,1.0,1.0
